GEOID,GNIS ID,Name,Short Name,State,CBSA,Metropolitan Division,Central,Time Zone,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
05047,66853,Franklin County,Franklin,AR,22900,,F,America/Chicago,H1,17159,7746,608.963,11.144,35.5123674,-93.8905747
05049,66854,Fulton County,Fulton,AR,,,F,America/Chicago,H1,12072,6260,617.994,2.455,36.3816539,-91.8182488
05051,66855,Garland County,Garland,AR,26300,,T,America/Chicago,H1,99694,52115,677.615,56.932,34.5767132,-93.1504005
05053,66856,Grant County,Grant,AR,30780,,F,America/Chicago,H1,17912,7846,631.888,1.118,34.2900396,-92.4236462
05055,66857,Greene County,Greene,AR,37500,,T,America/Chicago,H1,45665,19068,577.34,2.036,36.1176801,-90.5590571
05057,66858,Hempstead County,Hempstead,AR,26260,,T,America/Chicago,H1,20352,9715,727.2,13.798,33.7353772,-93.6684169
05059,66859,Hot Spring County,Hot Spring,AR,31680,,T,America/Chicago,H1,33096,14227,614.944,7.23,34.3176538,-92.9461314
05065,66860,Izard County,Izard,AR,,,F,America/Chicago,H1,13653,6795,580.201,3.698,36.0948431,-91.9134072
05067,66861,Jackson County,Jackson,AR,,,F,America/Chicago,H1,16878,7149,633.611,7.832,35.5992045,-91.2145371
05069,66862,Jefferson County,Jefferson,AR,38220,,T,America/Chicago,H1,68199,30921,872.346,43.657,34.2682943,-91.9303672
05071,66863,Johnson County,Johnson,AR,,,F,America/Chicago,H1,25853,11466,660.99,22.984,35.5696535,-93.4600862
05073,66864,Lafayette County,Lafayette,AR,,,F,America/Chicago,H1,6373,3977,529.472,16.613,33.2416316,-93.6070117
05075,66865,Lawrence County,Lawrence,AR,,,F,America/Chicago,H1,16292,7540,587.528,4.786,36.0412352,-91.1070069
05077,66866,Lee County,Lee,AR,,,F,America/Chicago,H1,8832,3774,599.807,22.339,34.7804377,-90.7807979
05061,66872,Howard County,Howard,AR,,,F,America/Chicago,H1,12894,6169,587.332,8.248,34.0888327,-93.9935735
05079,66873,Lincoln County,Lincoln,AR,38220,,F,America/Chicago,H1,13092,4432,559.466,10.306,33.9570205,-91.7344133
05081,66874,Little River County,Little River,AR,45500,,F,America/Chicago,H1,12104,6089,531.255,32.091,33.7009206,-94.2352429
05015,66975,Carroll County,Carroll,AR,,,F,America/Chicago,H1,28154,13829,629.928,8.771,36.3410711,-93.5381646
05023,66983,Cleburne County,Cleburne,AR,,,F,America/Chicago,H1,24848,15602,553.959,38.18,35.5381795,-92.0267158
05125,67102,Saline County,Saline,AR,30780,,T,America/Chicago,H1,122308,51352,723.516,6.933,34.6466623,-92.6766102
05017,69160,Chicot County,Chicot,AR,,,F,America/Chicago,H1,10405,5140,636.978,54.214,33.2670049,-91.2936752
05033,69161,Crawford County,Crawford,AR,22900,,T,America/Chicago,H1,60483,25444,595.269,10.393,35.5879869,-94.2428843
05035,69162,Crittenden County,Crittenden,AR,32820,,T,America/Chicago,H1,48338,21356,612.865,31.54,35.2056316,-90.3078396
05063,69163,Independence County,Independence,AR,12900,,T,America/Chicago,H1,37796,16634,763.712,7.819,35.7415863,-91.5696844
05085,69164,Lonoke County,Lonoke,AR,30780,,T,America/Chicago,H1,73824,29854,771.45,31.938,34.7542686,-91.8887852
05087,69165,Madison County,Madison,AR,22220,,F,America/Chicago,H1,16496,7613,834.238,2.879,36.0109704,-93.7245713
05091,69166,Miller County,Miller,AR,45500,,T,America/Chicago,H1,42875,19746,624.04,14.227,33.3124507,-93.8920784
05095,69167,Monroe County,Monroe,AR,,,F,America/Chicago,H1,6903,3894,607.461,13.787,34.677842,-91.2039164
05097,69168,Montgomery County,Montgomery,AR,,,F,America/Chicago,H1,8525,5480,780.453,20.455,34.5389124,-93.6595313
05099,69169,Nevada County,Nevada,AR,26260,,F,America/Chicago,H1,8340,4325,617.79,2.892,33.6639869,-93.3071536
05103,69170,Ouachita County,Ouachita,AR,15780,,T,America/Chicago,H1,22858,11983,732.721,7.021,33.593368,-92.881923
05105,69171,Perry County,Perry,AR,30780,,F,America/Chicago,H1,10056,4941,551.336,9.432,34.9475453,-92.9312356
05107,69172,Phillips County,Phillips,AR,25760,,T,America/Chicago,H1,16923,8523,690.36,37.053,34.4274878,-90.8488188
05109,69173,Pike County,Pike,AR,,,F,America/Chicago,H1,10234,5328,600.335,13.624,34.1635133,-93.6563861
05111,69174,Poinsett County,Poinsett,AR,27860,,F,America/Chicago,H1,23212,10419,758.295,5.364,35.5740408,-90.6629483
05113,69175,Polk County,Polk,AR,,,F,America/Chicago,H1,19476,9669,856.838,4.834,34.4857614,-94.2281751
05117,69176,Prairie County,Prairie,AR,,,F,America/Chicago,H1,8306,4133,647.516,28.046,34.8297954,-91.5527851
05119,69177,Pulaski County,Pulaski,AR,30780,,T,America/Chicago,H1,397931,189271,758.366,49.031,34.7700354,-92.3120012
05121,69178,Randolph County,Randolph,AR,,,F,America/Chicago,H1,18442,8572,651.913,4.004,36.3414979,-91.0275992
05127,69179,Scott County,Scott,AR,,,F,America/Chicago,H1,9928,4898,892.85,5.55,34.8607023,-94.0632738
05129,69180,Searcy County,Searcy,AR,,,F,America/Chicago,H1,7872,4723,665.879,2.495,35.9109174,-92.6994988
05131,69181,Sebastian County,Sebastian,AR,22900,,T,America/Chicago,H1,127941,56672,531.183,13.325,35.1988598,-94.2742941
05133,69182,Sevier County,Sevier,AR,,,F,America/Chicago,H1,16074,6771,563.569,17.73,33.9972357,-94.2412828
05135,69183,Sharp County,Sharp,AR,12900,,F,America/Chicago,H1,17243,9544,604.641,2.011,36.1612453,-91.4797795
05005,69895,Baxter County,Baxter,AR,34260,,T,America/Chicago,H1,41476,22689,553.931,32.786,36.2871738,-92.3369659
05007,69896,Benton County,Benton,AR,22220,,T,America/Chicago,H1,278774,110752,847.733,36.631,36.3387413,-94.256118
05009,69897,Boone County,Boone,AR,25460,,T,America/Chicago,H1,37445,17311,589.723,12.277,36.3086391,-93.0915351
05089,69898,Marion County,Marion,AR,,,F,America/Chicago,H1,16750,9426,596.598,43.611,36.2683451,-92.6841943
05093,69899,Mississippi County,Mississippi,AR,14180,,T,America/Chicago,H1,41061,19250,902.093,27.886,35.7624821,-90.0520895
05101,69900,Newton County,Newton,AR,25460,,F,America/Chicago,H1,7343,4163,821.076,2.292,35.9199865,-93.2178238
05115,69901,Pope County,Pope,AR,40780,,T,America/Chicago,H1,63234,26811,810.952,19.603,35.4477652,-93.0344748
05137,69902,Stone County,Stone,AR,,,F,America/Chicago,H1,12364,6792,606.44,3.145,35.8598762,-92.1567464
05139,69903,Union County,Union,AR,20980,,T,America/Chicago,H1,39262,18779,1039.067,16.256,33.1713763,-92.5972732
05141,69904,Van Buren County,Van Buren,AR,,,F,America/Chicago,H1,15851,9763,709.57,14.366,35.5806327,-92.515737
05143,69905,Washington County,Washington,AR,22220,,T,America/Chicago,H1,242793,98774,941.447,10.775,35.9790637,-94.2156076
05145,69906,White County,White,AR,42620,,T,America/Chicago,H1,77075,33324,1034.079,7.934,35.2562909,-91.7455738
05147,69907,Woodruff County,Woodruff,AR,,,F,America/Chicago,H1,6333,3319,585.973,8.133,35.1863286,-91.2430916
05149,69908,Yell County,Yell,AR,40780,,F,America/Chicago,H1,20489,9319,930.386,18.145,35.0024898,-93.4110716
05083,82850,Logan County,Logan,AR,,,F,America/Chicago,H1,21299,9779,709.116,20.838,35.2149109,-93.7165752
05123,83331,Saint Francis County,St. Francis,AR,22620,,T,America/Chicago,H1,23623,9741,634.784,7.729,35.0219859,-90.7478368
01001,161526,Autauga County,Autauga,AL,33860,,T,America/Chicago,H1,58239,24170,594.455,9.914,32.5349202,-86.6427492
01003,161527,Baldwin County,Baldwin,AL,19300,,T,America/Chicago,H1,227131,121763,1589.863,437.41,30.66097,-87.7498406
01005,161528,Barbour County,Barbour,AL,21640,,T,America/Chicago,H1,25259,11667,885.008,19.507,31.8696032,-85.393197
01007,161529,Bibb County,Bibb,AL,13820,,F,America/Chicago,H1,22412,9013,622.47,3.696,32.9986431,-87.1264396
01009,161530,Blount County,Blount,AL,13820,,F,America/Chicago,H1,58884,24527,644.891,5.738,33.9808674,-86.567371
01011,161531,Bullock County,Bullock,AL,,,F,America/Chicago,H1,10386,4522,622.815,2.328,32.1005542,-85.7156972
01013,161532,Butler County,Butler,AL,,,F,America/Chicago,H1,19181,9842,776.839,1.043,31.7524339,-86.6802892
01015,161533,Calhoun County,Calhoun,AL,11500,,T,America/Chicago,H1,116425,53112,605.89,6.384,33.7714324,-85.8260309
01017,161534,Chambers County,Chambers,AL,29300,,F,America/Chicago,H1,34834,16433,596.554,6.559,32.9143722,-85.3920429
01019,161535,Cherokee County,Cherokee,AL,,,F,America/Chicago,H1,24975,14734,553.524,46.452,34.175956,-85.6037937
01021,161536,Chilton County,Chilton,AL,13820,,F,America/Chicago,H1,44857,19407,692.837,7.951,32.8478485,-86.7188113
01023,161537,Choctaw County,Choctaw,AL,,,F,America/Chicago,H1,12792,7132,913.479,7.38,32.0196108,-88.2632013
01025,161538,Clarke County,Clarke,AL,,,F,America/Chicago,H1,23346,11788,1238.42,14.154,31.6766596,-87.8308099
01027,161539,Clay County,Clay,AL,,,F,America/Chicago,H1,14184,7009,603.962,2.039,33.2690859,-85.8605471
01029,161540,Cleburne County,Cleburne,AL,,,F,America/Chicago,H1,15046,6792,560.105,0.908,33.6745577,-85.518768
01031,161541,Coffee County,Coffee,AL,21460,,T,America/Chicago,H1,53043,23934,678.986,1.509,31.4026272,-85.9882069
01033,161542,Colbert County,Colbert,AL,22520,,T,America/Chicago,H1,56789,27496,592.953,30.564,34.7004338,-87.8049853
01035,161543,Conecuh County,Conecuh,AL,,,F,America/Chicago,H1,11778,6469,850.279,2.481,31.4292715,-86.9936742
01037,161544,Coosa County,Coosa,AL,10760,,F,America/Chicago,H1,10442,6064,650.909,15.441,32.9362268,-86.2476593
01039,161545,Covington County,Covington,AL,,,F,America/Chicago,H1,37490,18627,1030.571,13.203,31.2484924,-86.4512425
01041,161546,Crenshaw County,Crenshaw,AL,,,F,America/Chicago,H1,13300,6544,608.865,2.081,31.7315002,-86.3135389
01043,161547,Cullman County,Cullman,AL,18980,,T,America/Chicago,H1,87129,38859,734.739,20.282,34.1319411,-86.8676195
01045,161548,Dale County,Dale,AL,37120,,T,America/Chicago,H1,49443,22790,561.113,1.564,31.4318271,-85.6110368
01047,161549,Dallas County,Dallas,AL,42820,,T,America/Chicago,H1,39162,19037,978.738,15.106,32.3259737,-87.1064763
01049,161550,DeKalb County,DeKalb,AL,22840,,T,America/Chicago,H1,71554,30647,777.077,1.586,34.4597666,-85.8041437
01051,161551,Elmore County,Elmore,AL,33860,,T,America/Chicago,H1,87146,36425,618.516,38.524,32.596648,-86.1491465
01053,161552,Escambia County,Escambia,AL,12120,,T,America/Chicago,H1,36879,16672,945.408,7.732,31.1261225,-87.1616199
01055,161553,Etowah County,Etowah,AL,23460,,T,America/Chicago,H1,103468,47329,535.105,13.522,34.0452544,-86.0347623
01057,161554,Fayette County,Fayette,AL,,,F,America/Chicago,H1,16365,7836,627.684,1.672,33.7212061,-87.738862
01059,161555,Franklin County,Franklin,AL,,,F,America/Chicago,H1,32034,13930,633.959,12.564,34.4416706,-87.843812
01061,161556,Geneva County,Geneva,AL,20020,,F,America/Chicago,H1,26604,12495,574.485,4.466,31.0950167,-85.8389849
01063,161557,Greene County,Greene,AL,46220,,F,America/Chicago,H1,7851,4303,647.023,12.902,32.8531388,-87.9522309
01065,161558,Hale County,Hale,AL,46220,,F,America/Chicago,H1,14819,7422,643.99,12.511,32.7626642,-87.6291177
01067,161559,Henry County,Henry,AL,20020,,F,America/Chicago,H1,17165,9057,561.892,6.417,31.5146944,-85.2414063
01069,161560,Houston County,Houston,AL,20020,,T,America/Chicago,H1,106355,48940,579.826,1.852,31.153188,-85.3025274
01071,161561,Jackson County,Jackson,AL,42460,,T,America/Chicago,H1,52548,24666,1078.015,48.778,34.7794126,-85.9992951
01073,161562,Jefferson County,Jefferson,AL,13820,,T,America/Chicago,H1,672550,307607,1111.54,12.609,33.5543279,-86.8963978
01075,161563,Lamar County,Lamar,AL,,,F,America/Chicago,H1,13929,7104,604.846,0.618,33.7792058,-88.0968989
01077,161564,Lauderdale County,Lauderdale,AL,22520,,T,America/Chicago,H1,93342,44528,668.015,51.585,34.9013724,-87.653998
01079,161565,Lawrence County,Lawrence,AL,19460,,F,America/Chicago,H1,33089,15220,690.684,26.518,34.521652,-87.3110445
01081,161566,Lee County,Lee,AL,12220,,T,America/Chicago,H1,172223,73557,607.544,8.306,32.6011363,-85.3555623
01083,161567,Limestone County,Limestone,AL,26620,,F,America/Chicago,H1,101217,41768,563.403,43.784,34.8100783,-86.9813748
01085,161568,Lowndes County,Lowndes,AL,33860,,F,America/Chicago,H1,10334,4833,716.085,8.985,32.15475,-86.6501077
01087,161569,Macon County,Macon,AL,,,F,America/Chicago,H1,19490,9684,608.665,4.543,32.3859737,-85.6926687
01089,161570,Madison County,Madison,AL,26620,,T,America/Chicago,H1,382149,167859,801.601,11.114,34.7630897,-86.5502065
01091,161572,Marengo County,Marengo,AL,,,F,America/Chicago,H1,19397,9850,976.898,5.773,32.2476134,-87.7895193
01093,161573,Marion County,Marion,AL,,,F,America/Chicago,H1,29392,14131,742.343,1.228,34.1365497,-87.8871384
01095,161574,Marshall County,Marshall,AL,10700,,T,America/Chicago,H1,97179,41129,565.845,57.335,34.3669621,-86.306637
01097,161575,Mobile County,Mobile,AL,33660,,T,America/Chicago,H1,414620,184218,1229.374,414.678,30.6851512,-88.1975238
01099,161576,Monroe County,Monroe,AL,,,F,America/Chicago,H1,20115,10275,1025.669,8.73,31.570834,-87.3654375
01101,161577,Montgomery County,Montgomery,AL,33860,,T,America/Chicago,H1,229072,105139,785.355,14.557,32.220258,-86.2076143
01103,161578,Morgan County,Morgan,AL,19460,,T,America/Chicago,H1,122608,53086,579.669,19.381,34.453472,-86.8529216
01105,161579,Perry County,Perry,AL,,,F,America/Chicago,H1,8702,4022,719.67,4.209,32.6384657,-87.2944008
01107,161580,Pickens County,Pickens,AL,46220,,F,America/Chicago,H1,19240,8738,881.408,8.734,33.280877,-88.0886881
01109,161581,Pike County,Pike,AL,45980,,T,America/Chicago,H1,33176,15958,672.067,0.903,31.8027085,-85.9409081
01111,161582,Randolph County,Randolph,AL,,,F,America/Chicago,H1,21984,12356,580.55,3.584,33.2937873,-85.4590702
01113,161583,Russell County,Russell,AL,17980,,T,America/Chicago,H1,58695,27219,641.182,6.009,32.2883797,-85.1849626
01117,161584,Shelby County,Shelby,AL,13820,,T,America/Chicago,H1,220780,88480,785.44,24.049,33.2642701,-86.6606385
01119,161585,Sumter County,Sumter,AL,,,F,America/Chicago,H1,12482,6340,903.826,9.512,32.5910175,-88.1987896
01121,161586,Talladega County,Talladega,AL,45180,,T,America/Chicago,H1,81850,37905,736.817,23.504,33.3800616,-86.1659037
01123,161587,Tallapoosa County,Tallapoosa,AL,10760,,T,America/Chicago,H1,41284,22603,716.528,49.726,32.8624049,-85.7975022
01125,161588,Tuscaloosa County,Tuscaloosa,AL,46220,,T,America/Chicago,H1,223945,99540,1320.848,30.388,33.2895499,-87.5250263
01127,161589,Walker County,Walker,AL,27530,,T,America/Chicago,H1,65194,30093,791.03,14.163,33.8033347,-87.2973574
01129,161590,Washington County,Washington,AL,33660,,F,America/Chicago,H1,15574,7793,1080.255,8.311,31.4076038,-88.2078768
01131,161591,Wilcox County,Wilcox,AL,,,F,America/Chicago,H1,10686,5304,887.858,19.534,31.9892402,-87.3082018
01133,161592,Winston County,Winston,AL,,,F,America/Chicago,H1,23650,13083,612.998,18.87,34.1492251,-87.3736834
01115,164997,Saint Clair County,St. Clair,AL,13820,,F,America/Chicago,H1,90412,37651,631.57,21.788,33.7157306,-86.3145954
08001,198116,Adams County,Adams,CO,19740,,T,America/Denver,H1,514969,183772,1166.739,16.874,39.8736476,-104.3378944
08003,198117,Alamosa County,Alamosa,CO,,,F,America/Denver,H1,16377,7009,722.645,0.645,37.5728931,-105.7882882
08005,198118,Arapahoe County,Arapahoe,CO,19740,,T,America/Denver,H1,651621,259291,797.884,7.644,39.6497735,-104.3392644
08007,198119,Archuleta County,Archuleta,CO,,,F,America/Denver,H1,13267,9445,1350.088,5.305,37.1936094,-107.0482883
08009,198120,Baca County,Baca,CO,,,F,America/Denver,H1,3519,1997,2554.993,2.372,37.3191788,-102.5604766
08011,198121,Bent County,Bent,CO,,,F,America/Denver,H1,5861,2151,1512.847,28.24,37.9550856,-103.0717046
08013,198122,Boulder County,Boulder,CO,14500,,T,America/Denver,H1,328713,139302,726.384,14.087,40.0924648,-105.3577045
08015,198123,Chaffee County,Chaffee,CO,,,F,America/Denver,H1,19436,10804,1013.408,1.544,38.7469031,-106.1940667
08017,198124,Cheyenne County,Cheyenne,CO,,,F,America/Denver,H1,1691,945,1778.276,3.153,38.8279397,-102.6033958
08019,198125,Clear Creek County,Clear Creek,CO,19740,,F,America/Denver,H1,9427,5677,395.073,1.264,39.6890539,-105.6443635
08021,198126,Conejos County,Conejos,CO,,,F,America/Denver,H1,7579,4037,1287.428,3.566,37.2006875,-106.191628
08023,198127,Costilla County,Costilla,CO,,,F,America/Denver,H1,3517,2401,1227.593,3.409,37.2779523,-105.4282497
08025,198128,Crowley County,Crowley,CO,,,F,America/Denver,H1,6018,1521,787.428,12.905,38.3266611,-103.7848257
08027,198129,Custer County,Custer,CO,,,F,America/Denver,H1,4720,4125,738.626,1.299,38.1086779,-105.3674718
08029,198130,Delta County,Delta,CO,,,F,America/Denver,H1,31133,14742,1142.125,6.481,38.8613738,-107.8628768
08031,198131,Denver County,Denver,CO,19740,,T,America/Denver,H6,706799,335131,153.074,1.651,39.7619783,-104.8757688
08033,198132,Dolores County,Dolores,CO,,,F,America/Denver,H1,2288,1679,1067.17,1.049,37.7516108,-108.5172653
08035,198133,Douglas County,Douglas,CO,19740,,T,America/Denver,H1,351929,132519,840.888,2.624,39.3297194,-104.9295696
08037,198134,Eagle County,Eagle,CO,20780,,T,America/Denver,H1,55693,32611,1684.47,7.324,39.6278256,-106.6952993
08041,198135,El Paso County,El Paso,CO,17820,,T,America/Denver,H1,722736,283726,2126.414,2.73,38.8321016,-104.5254857
08039,198136,Elbert County,Elbert,CO,19740,,F,America/Denver,H1,25897,9629,1850.086,0.171,39.2865595,-104.1358898
08043,198137,Fremont County,Fremont,CO,15860,,T,America/Denver,H1,49007,20176,1533.835,0.863,38.4730745,-105.4395145
08045,198138,Garfield County,Garfield,CO,24060,,T,America/Denver,H1,61221,24018,2947.426,8.38,39.5993072,-107.9039562
08047,198139,Gilpin County,Gilpin,CO,19740,,F,America/Denver,H1,5812,3510,150.023,0.364,39.8575436,-105.5226212
08049,198140,Grand County,Grand,CO,,,F,America/Denver,H1,15629,16591,1846.447,23.122,40.1026149,-106.1183583
08051,198141,Gunnison County,Gunnison,CO,,,F,America/Denver,H1,16851,12006,3239.14,20.491,38.6667977,-107.0317001
08053,198142,Hinsdale County,Hinsdale,CO,,,F,America/Denver,H1,858,1449,1117.231,5.917,37.8213416,-107.3003118
08055,198143,Huerfano County,Huerfano,CO,,,F,America/Denver,H1,6787,4731,1591.033,2.236,37.6846796,-104.9605845
08057,198144,Jackson County,Jackson,CO,,,F,America/Denver,H1,1375,1221,1613.726,7.239,40.6664327,-106.3427947
08059,198145,Jefferson County,Jefferson,CO,19740,,T,America/Denver,H1,580130,246426,764.383,9.681,39.5864316,-105.2504701
08061,198146,Kiowa County,Kiowa,CO,,,F,America/Denver,H1,1414,714,1767.809,18.16,38.4326851,-102.7403405
08063,198147,Kit Carson County,Kit Carson,CO,,,F,America/Denver,H1,7071,3427,2160.822,0.869,39.3054413,-102.6028874
08067,198148,La Plata County,La Plata,CO,20420,,T,America/Denver,H1,55673,27858,1689.682,9.901,37.2865819,-107.8432707
08065,198149,Lake County,Lake,CO,,,F,America/Denver,H1,7417,4122,376.919,6.993,39.2023795,-106.3448377
08069,198150,Larimer County,Larimer,CO,22660,,T,America/Denver,H1,354670,156030,2595.747,38.242,40.6664192,-105.4611461
08071,198151,Las Animas County,Las Animas,CO,,,F,America/Denver,H1,14531,8114,4772.938,2.676,37.3158385,-104.0386998
08073,198152,Lincoln County,Lincoln,CO,,,F,America/Denver,H1,5630,2221,2577.73,8.796,38.9880686,-103.5139654
08075,198153,Logan County,Logan,CO,44540,,T,America/Denver,H1,21765,8704,1838.599,6.318,40.7246687,-103.1100957
08077,198154,Mesa County,Mesa,CO,24300,,T,America/Denver,H1,154685,66608,3328.721,12.352,39.0182905,-108.4664402
08079,198155,Mineral County,Mineral,CO,,,F,America/Denver,H1,794,1272,875.76,2.016,37.6689957,-106.9240946
08081,198156,Moffat County,Moffat,CO,18780,,T,America/Denver,H1,13240,6091,4743.244,7.646,40.6184222,-108.2072906
08083,198157,Montezuma County,Montezuma,CO,,,F,America/Denver,H1,25916,12212,2029.349,10.505,37.338434,-108.5966698
08085,198158,Montrose County,Montrose,CO,33940,,T,America/Denver,H1,42328,18852,2240.946,1.901,38.402156,-108.2694511
08087,198159,Morgan County,Morgan,CO,22820,,T,America/Denver,H1,28868,11474,1280.485,13.383,40.2627444,-103.8098222
08089,198160,Otero County,Otero,CO,,,F,America/Denver,H1,18665,8746,1261.946,7.758,37.9027017,-103.7164457
08091,198161,Ouray County,Ouray,CO,33940,,F,America/Denver,H1,4850,3158,540.671,1.539,38.1554972,-107.7693168
08093,198162,Park County,Park,CO,19740,,F,America/Denver,H1,17384,14049,2193.51,16.803,39.1193385,-105.7172435
08095,198163,Phillips County,Phillips,CO,,,F,America/Denver,H1,4497,2033,687.928,0.117,40.5938843,-102.3575796
08097,198164,Pitkin County,Pitkin,CO,24060,,F,America/Denver,H1,17471,13261,970.701,2.499,39.2171057,-106.9165777
08099,198165,Prowers County,Prowers,CO,,,F,America/Denver,H1,11966,5508,1638.408,5.914,37.9551832,-102.393349
08101,198166,Pueblo County,Pueblo,CO,39380,,T,America/Denver,H1,167453,71821,2386.591,11.174,38.1734202,-104.5128456
08103,198167,Rio Blanco County,Rio Blanco,CO,,,F,America/Denver,H1,6495,3277,3220.971,1.88,39.9798357,-108.2172258
08105,198168,Rio Grande County,Rio Grande,CO,,,F,America/Denver,H1,11476,6547,911.956,0.38,37.5825228,-106.3832104
08107,198169,Routt County,Routt,CO,44460,,T,America/Denver,H1,24899,16492,2362.02,6.113,40.4850679,-106.9911932
08109,198170,Saguache County,Saguache,CO,,,F,America/Denver,H1,6369,3695,3168.566,1.72,38.0805528,-106.2815556
08111,198171,San Juan County,San Juan,CO,,,F,America/Denver,H1,698,719,387.516,0.786,37.7640431,-107.6761473
08113,198172,San Miguel County,San Miguel,CO,,,F,America/Denver,H1,8084,6547,1286.725,2.011,38.0037404,-108.4059221
08115,198173,Sedgwick County,Sedgwick,CO,,,F,America/Denver,H1,2459,1207,548.041,1.363,40.875905,-102.3517912
08117,198174,Summit County,Summit,CO,14720,,T,America/Denver,H1,31042,31182,608.328,10.931,39.6341708,-106.1163791
08119,198175,Teller County,Teller,CO,17820,,F,America/Denver,H1,24607,13271,557.141,1.915,38.8824039,-105.1618112
08121,198176,Washington County,Washington,CO,,,F,America/Denver,H1,4834,2287,2518.084,5.872,39.9710618,-103.2012529
08123,198177,Weld County,Weld,CO,24540,,T,America/Denver,H1,322424,115854,3984.953,31.793,40.55483,-104.3925314
08125,198178,Yuma County,Yuma,CO,,,F,America/Denver,H1,9944,4311,2364.399,4.299,40.0028993,-102.4242263
09003,212338,Hartford County,Hartford,CT,25540,,T,America/New_York,H4,898636,384270,734.962,15.654,41.8064288,-72.7328123
09013,212668,Tolland County,Tolland,CT,25540,,T,America/New_York,H4,150120,60638,410.352,6.776,41.855066,-72.3365017
